Datum des Eintrags,Stockname,Standortname,Brutraumzargenformat,Honigraumzargenformat,Beutentyp,Stocktyp,Position am Stand,Notizen Stock,Notizen Eintrag,Sichtungen,Weiselzellen,Bebrütete Waben,Besetzte Waben,Zählmethode,Gezählte Milben,Zählzeitraum (Tage),Medikament,Anwendungsmethode,Biotechnische Maßnahme,Medikamentenmenge,Behandlungsdauer,Behandelnde Person,Bewertung Volksstärke,Bewertung Sanftmut,Bewertung Schwarmtrieb,Bewertung Wabensitz,Bewertung Futtermenge,Ernte,Ernte Rähmchenanzahl,Geerntete Menge (kg),Honigtyp,Futtertyp,Futtermenge,Gewicht,Wiegemethode
27.04.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Als Ableger gebildet,Weiselzellen; Stifte; Larven; Verdeckelte Brut,,2,2,,,,,,,,,,0.0,,,,1.0,Nein,,,,,,,
19.05.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Königin markiert,Königin; Stifte; Larven,,2,2,,,,,,,,,,0.0,,,,1.0,Nein,,,,,,,
04.06.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,Stifte; Larven; Verdeckelte Brut,,2,3,,,,,,,,,,1.0,,,,2.0,Nein,,,,,,,
15.06.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Wildbad entfernt,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,Nein,,,,,,,
22.06.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Von zuhause in Wald umgesiedelt ,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
01.07.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,Stifte; Larven; Verdeckelte Brut,,4,4,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,,
29.07.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,Königin; Stifte; Larven; Verdeckelte Brut,,5,5,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,,
03.08.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,,,,Ameisensäure 60 Bernburg 684 mg/ml Lösung,Nassenheider Verdunster,,,,,,,,,,Nein,,,,,,,
11.09.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,13,1,,,,,,,,,,,,Nein,,,,,,,
12.09.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,14,1,,,,,,,,,,,,Nein,,,,,,,
15.09.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,6,1,,,,,,,,,,,,Nein,,,,,,,
16.09.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,21,2,,,,,,,,,,,,Nein,,,,,,,
22.09.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Ameisensäure von 2. Behandlung entfernt,Verdeckelte Brut,,5,5,Gemülldiagnose,,,,,,,,,2.0,1.0,,,2.0,Nein,,,,,,,
30.09.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,10,1,,,,,,,,,,,,Nein,,,,,,,
07.10.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,20,1,,,,,,,,,,,,Nein,,,,,,,
14.12.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Volk eher schwächer,,,,,,,,"Oxalsäuredihydrat-Lösung 3,5 % ad us. vet.",,,,,,,,,,,Nein,,,,,,,
26.01.25 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Aktivität im Volk erkennbar.
20-30 tote Bienen nach einigen schönen Tagen vor Stock.",,,,,,,,,,,,,,,,,,,Nein,,,,,,,
31.01.25 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Viel Gemütlichkeit, Windel erneuert",,,,,,,,,,,,,,,,,,,Nein,,,,,,17.0,einseitig
23.02.25 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Viel Gemüll
Windel erneuert
Viel Flugbetrieb
",,,,,,,,,,,,,,,,,,,Nein,,,,,,18.0,einseitig
24.02.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Gemütlichkeit ok,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.06,einseitig
27.02.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,,,,,,,,,,,,,,,Nein,,,,,,17.5,einseitig
04.03.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Viel Gemüll
Windel gereinigt
Flugloch vergrößert, starker Polleneintrag",,,,,,,,,,,,,,,,,,,Nein,,,,,,17.4,einseitig
09.03.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Boden sauber ohne Tote Bienen,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,17.1,einseitig
22.03.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,viel Gemüll,Stifte; Larven; Verdeckelte Brut,,,6,,,,,,,,,,,,,,,Nein,,,,,,18.0,einseitig
05.04.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Windel gereinigt
Futterwabe entnommen
Futterwaben nach außen und Leerewaben zur Mitte geschoben.",Stifte; Larven; Verdeckelte Brut; Weiselzellen,3,3,8,,,,,,,,,,2.0,,2.0,,2.0,Nein,,,,,,16.6,einseitig
14.04.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Eine Futterwabe für Drohnenrahmen entnommen
Nur auslaufende Brut
Bis auf eine Weiselzelle alle zerstört
",Verdeckelte Brut; Weiselzellen,,2,6,,,,,,,,,,1.0,,,,2.0,Nein,,,,,,,
27.04.25 21:30,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Keine frische Brut
Brutwabe aus Volk 4 als Weiselprobe gegeben
Drohnenrahmen leer
Honigraum nicht angenommen - entfernt 
Absperrgitter zwischen oberer und unterer Vollzarge eingesetzt
Sehr viel Feuchtigkeit im Stock - luftdurchlässige Abdeckung eingesetzt",,,,5,,,,,,,,,,1.0,,,,2.0,Nein,,,,,,,
17.05.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Honigraum Halbzarge gegeben da voll,Stifte; Larven; Verdeckelte Brut,,2,5,,,,,,,,,,,,,,,Nein,,,,,,,
24.05.25 21:40,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,,,,,,,,,,,,,,,Ja,7,,Frühtracht,,,,
30.05.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,Stifte; Larven; Verdeckelte Brut,,8,10,,,,,,Drohnenbrutschneiden,,,,2.0,,,,2.0,Nein,,,,,,,
06.06.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,2 Brutwaben für Volk4 entnommen,Stifte; Larven; Verdeckelte Brut,,8,10,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,,
13.06.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,1 Brutrahmen für Zuchtvolk entnommen,Stifte; Larven; Verdeckelte Brut,,7,10,,,,,,Drohnenbrutschneiden,,,,2.0,,,,2.0,Nein,,,,,,,
25.06.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Brutwabe für Ableger mit Zuchtstoff entnommen,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
26.06.25 21:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Honigraum Halbzarge unter Vollzarge gesetzt, da Vollzarge sehr voll",Stifte; Larven; Verdeckelte Brut,,5,8,,,,,,Drohnenbrutschneiden,,,,,,,,,Nein,,,,,,,
06.07.25 22:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,Honigraum schwer,Stifte; Larven; Verdeckelte Brut,,,,,,,,,Drohnenbrutschneiden,,,,2.0,,,,1.0,Nein,,,,,,,
20.07.25 22:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Drohnenrahmen entfernt 
Honigrähmchen zum Putzen aufgesetzt",Stifte; Larven; Verdeckelte Brut,,4,8,,,,,,Drohnenbrutschneiden,,,,2.0,,,,1.0,Ja,,,Sommertracht,,,,
26.07.25 22:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,1Liter 26.07. - 3Liter 29.07.,,,,,,,,,,,,,,,,,,,Nein,,,,Invertzuckersirup,4.0,,
01.08.25 22:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,,,,Ameisensäure 60 Bernburg 684 mg/ml Lösung,,,250.0,,,,,,,,Nein,,,,,,,
17.08.25 22:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,15,1,,,,,,,,,,,,Nein,,,,Invertzuckersirup,4.5,,
18.08.25 22:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,6,1,,,,,,,,,,,,Nein,,,,,,,
19.08.25 22:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"gesammt Menge 11,5 Liter",,,,,Gemülldiagnose,10,1,,,,,,,,,,,,Nein,,,,Invertzuckersirup,3.0,,
01.09.25 22:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"Ameisensäure entfernt
Drohnenrahmen raus 
eher wenig Futter",Stifte; Larven; Verdeckelte Brut,,3,7,Gemülldiagnose,6,2,,,,,,,,,,,,Nein,,,,,,,
05.09.25 22:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,7,1,,,,,,,,,,,,Nein,,,,,,,
06.09.25 22:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,9,1,,,,,,,,,,,,Nein,,,,,,,
07.09.25 22:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,5,1,,,,,,,,,,,,Nein,,,,,,,
12.09.25 22:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,,,,,,,,,,,,,,,Nein,,,,,,17.7,einseitig
13.09.25 22:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,"gesammt Menge 15,5 Liter",,,,,Gemülldiagnose,11,2,,,,,,,,,,,,Nein,,,,Invertzuckersirup,4.0,,
18.09.25 22:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,10,1,,,,,,,,,,,,Nein,,,,,,19.6,einseitig
20.09.25 22:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,Ableger gebildet aus Startervölkern 3 und 4,,,,,,Gemülldiagnose,6,1,,,,,,,,,,,,Nein,,,,,,,
