Datum des Eintrags,Stockname,Standortname,Brutraumzargenformat,Honigraumzargenformat,Beutentyp,Stocktyp,Position am Stand,Notizen Stock,Notizen Eintrag,Sichtungen,Weiselzellen,Bebrütete Waben,Besetzte Waben,Leerwaben (gegeben/genommen),Mittelwände (gegeben/genommen),Brutwaben (gegeben/genommen),Futterwaben (gegeben/genommen),Baurahmen (gegeben/genommen),Zählmethode,Gezählte Milben,Zählzeitraum (Tage),Medikament,Anwendungsmethode,Biotechnische Maßnahme,Medikamentenmenge,Behandlungsdauer,Behandelnde Person,Bewertung Volksstärke,Bewertung Sanftmut,Bewertung Schwarmtrieb,Bewertung Wabensitz,Bewertung Futtermenge,Ernte,Ernte Rähmchenanzahl,Geerntete Menge (kg),Honigtyp,Futtertyp,Futtermenge,Gewicht,Wiegemethode
27.04.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Als Ableger gebildet,Weiselzellen; Stifte; Larven; Verdeckelte Brut,,2,2,,,,,,,,,,,,,,,0.0,,,,1.0,Nein,,,,,,,
19.05.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Königin markiert,Königin; Stifte; Larven,,2,2,1,1,,,,,,,,,,,,,0.0,,,,1.0,Nein,,,,,,,
04.06.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,Stifte; Larven; Verdeckelte Brut,,2,3,4,4,,,,,,,,,,,,,1.0,,,,2.0,Nein,,,,,,,
15.06.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Wildbad entfernt,Stifte; Larven; Verdeckelte Brut,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
22.06.24 20:50,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Von zuhause in Wald umgesiedelt ,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
01.07.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,Stifte; Larven; Verdeckelte Brut,,4,4,2,2,,,,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,,
29.07.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,Königin; Stifte; Larven; Verdeckelte Brut,,5,5,,,,,,,,,,,,,,,2.0,,,,2.0,Nein,,,,,,,
03.08.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,,,,,,,,,,,,,Ameisensäure 60 Bernburg 684 mg/ml Lösung,Nassenheider Verdunster,,,,,,,,,,Nein,,,,,,,
11.09.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,,,,,,,,,,Gemülldiagnose,13,1,,,,,,,,,,,,Nein,,,,,,,
12.09.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,,,,,,,,,,Gemülldiagnose,14,1,,,,,,,,,,,,Nein,,,,,,,
15.09.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,,,,,,,,,,Gemülldiagnose,6,1,,,,,,,,,,,,Nein,,,,,,,
16.09.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,,,,,,,,,,Gemülldiagnose,21,2,,,,,,,,,,,,Nein,,,,,,,
22.09.24 21:00,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Ameisensäure von 2. Behandlung entfernt,Verdeckelte Brut,,5,5,,,,,,Gemülldiagnose,,,,,,,,,2.0,1.0,,,2.0,Nein,,,,,,,
30.09.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,,,,,,,,,,Gemülldiagnose,10,1,,,,,,,,,,,,Nein,,,,,,,
07.10.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",,,,,,,,,,,Gemülldiagnose,20,1,,,,,,,,,,,,Nein,,,,,,,
14.12.24 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Volk eher schwächer,,,,,,,,,,,,,"Oxalsäuredihydrat-Lösung 3,5 % ad us. vet.",,,,,,,,,,,Nein,,,,,,,
26.01.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"Aktivität im Volk erkennbar
Nach 2 wärmeren Tagen, relativ viele tote Bienen vor Stock (ca 20-30)
Vor Stock alles gesäubert und neuen Sand aufgebracht",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
26.01.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"Aktivität im Volk erkennbar
Nach 2 wärmeren Tagen, relativ viele tote Bienen vor Stock (ca 40)
Vor Stock alles gesäubert und neuen Sand aufgebracht",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
26.01.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"Aktivität im Volk erkennbar
Nach 2 wärmeren Tagen, relativ viele tote Bienen vor Stock (ca 40)
Vor Stock alles gesäubert und neuen Sand aufgebracht",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
26.01.25 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","Aktivität im Volk erkennbar.
20-30 tote Bienen nach einigen schönen Tagen vor Stock.",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,,
31.01.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,viel Gemüll,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.4,einseitig
31.01.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.9,einseitig
31.01.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,19.5,einseitig
31.01.25 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","Viel Gemütlichkeit, Windel erneuert",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,17.0,einseitig
23.02.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,"viel Gemüll
weniger Flugbetrieb",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.5,einseitig
23.02.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,"viel Gemüll
viel Flugbetrieb",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,19.7,einseitig
23.02.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,"viel Gemüll
weniger Flugbetrieb",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,19.3,einseitig
23.02.25 21:10,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.","Viel Gemüll
Windel erneuert
Viel Flugbetrieb
",,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.0,einseitig
24.02.25 12:00,Volk 4,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,vermutlich im Juni 2025 umgeweiselt,Gemüll ok,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,19.27,einseitig
24.02.25 12:00,Volk 2,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Wirtschaftsvolk,,ca 30.05.2025 umgeweiselt,Gemüll ok,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.76,einseitig
24.02.25 21:20,Volk 1,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,1,"27.04.2024 Ableger 3 und 4 gebildet aus Volk 1
27.04.2025 Königin aus Weiselprobe von Volk 4 gezogen.",Gemütlichkeit ok,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.06,einseitig
24.02.25 23:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,Gemüll relativ wenig,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,19.24,einseitig
27.02.25 12:00,Volk 3,Zwirle 1,Zander,Zander flach (159mm),Liebig / Hohenheimer Einfachbeute,Ableger,,im Juni 2025 vermutlich still umgeweiselt,,,,,,,,,,,,,,,,,,,,,,,,,Nein,,,,,,18.0,einseitig
